DATE,INFL,10YTR,1YTR,UNRATE,UMCSENT,,
31/7/2018,2.2676,2.89,2.39,3.8,97.9,,
31/8/2018,2.12089,2.89,2.45,3.8,96.2,,
28/9/2018,2.19768,3,2.56,3.7,100.1,,
31/10/2018,2.12641,3.15,2.65,3.8,98.6,,
30/11/2018,2.21538,3.12,2.7,3.8,97.5,,
31/12/2018,2.24853,2.83,2.66,3.9,98.3,,
31/1/2019,2.14809,2.71,2.58,4,91.2,,
28/2/2019,2.09455,2.68,2.55,3.8,93.8,,
29/3/2019,2.05486,2.57,2.49,3.8,98.4,,
30/4/2019,2.08315,2.53,2.42,3.6,97.2,,
31/5/2019,2.00626,2.4,2.34,3.7,100,,
28/6/2019,2.12122,2.07,2,3.6,98.2,,
31/7/2019,2.17851,2.06,1.96,3.7,98.4,,
30/8/2019,2.35914,1.63,1.77,3.7,89.8,,
30/9/2019,2.34433,1.7,1.8,3.5,93.2,,
31/10/2019,2.32623,1.71,1.61,3.6,95.5,,
29/11/2019,2.33003,1.81,1.57,3.6,96.8,,
31/12/2019,2.25368,1.86,1.55,3.6,99.3,,
31/1/2020,2.2786,1.76,1.53,3.5,99.8,,
28/2/2020,2.381,1.5,1.41,3.5,101,,
31/3/2020,2.12322,0.87,0.33,4.4,89.1,,
30/4/2020,1.44861,0.66,0.18,14.7,71.8,,
29/5/2020,1.24665,0.67,0.16,13.2,72.3,,
30/6/2020,1.17668,0.73,0.18,11,78.1,,
31/7/2020,1.53392,0.62,0.15,10.2,72.5,,
31/8/2020,1.70243,0.65,0.13,8.4,74.1,,
30/9/2020,1.70672,0.68,0.13,7.9,80.4,,
30/10/2020,1.6215,0.79,0.13,6.9,81.8,,
30/11/2020,1.66375,0.87,0.12,6.7,76.9,,
31/12/2020,1.63317,0.93,0.1,6.7,80.7,,
29/1/2021,1.40909,1.08,0.1,6.3,79,,
26/2/2021,1.28852,1.26,0.07,6.2,76.8,,
31/3/2021,1.66086,1.61,0.08,6.1,84.9,,
30/4/2021,2.95141,1.64,0.06,6.1,88.3,,
28/5/2021,3.79555,1.62,0.05,5.8,82.9,,
30/6/2021,4.40831,1.52,0.07,5.9,85.5,,
30/7/2021,4.17801,1.32,0.08,5.4,81.2,,
31/8/2021,3.94384,1.28,0.07,5.2,70.3,,
30/9/2021,4.02212,1.37,0.08,4.8,72.8,,
29/10/2021,4.5878,1.58,0.11,4.5,71.7,,
30/11/2021,4.97923,1.56,0.18,4.2,67.4,,
31/12/2021,5.52269,1.47,0.3,3.9,70.6,,
31/1/2022,6.0688,1.76,0.55,4,67.2,,
28/2/2022,6.43453,1.93,1,3.8,62.8,,
31/3/2022,6.45242,2.13,1.34,3.6,59.4,,
29/4/2022,6.13819,2.75,1.89,3.6,65.2,,
31/5/2022,6.02095,2.9,2.06,3.6,58.4,,
30/6/2022,5.88492,3.14,2.65,3.6,50,,
29/7/2022,5.8893,2.9,3.02,3.5,51.5,,
31/8/2022,6.3005,2.9,3.28,3.7,58.2,,
30/9/2022,6.64296,3.52,3.89,3.5,58.6,,
31/10/2022,6.30176,3.98,4.43,3.7,59.9,,
30/11/2022,5.97198,3.89,4.73,3.6,56.8,,
30/12/2022,5.70386,3.62,4.68,3.5,59.7,,
31/01/2023,5.54757,3.53,4.69,3.4,64.9,,
28/02/2023,5.526,3.75,4.93,3.6,67,,
